code;name;type
2921430000;"Amin funksional qruplu birləşmələr:– aromatik monoaminlər və onların törəmələri; bu birləşmələrin duzları:– – toluidinlər və onların törəmələri; bu birləşmələrin duzları";PRODUCT
2921440000;"Amin funksional qruplu birləşmələr:– aromatik monoaminlər və onların törəmələri; bu birləşmələrin duzları:– – difenilamin və onun törəmələri; bu birləşmələrin duzları";PRODUCT
2921450000;"Amin funksional qruplu birləşmələr:– aromatik monoaminlər və onların törəmələri; bu birləşmələrin duzları:– – 1-naftilamin (a-naftilamin), 2-naftilamin (b-naftilamin) və onların törəmələri; bu birləşmələrin duzları";PRODUCT
2921460000;"Amin funksional qruplu birləşmələr:– aromatik monoaminlər və onların törəmələri; bu birləşmələrin duzları:– – amfetamin (INN), benzfetamin (INN), deksamfetamin (INN), etilamfetamin (INN), fenkamfamin (INN), lefetamin (INN), levamfetamin (INN), mefenoreks (INN) və fentermin (INN); bu birləşmələrin duzları";PRODUCT
2921490000;"Amin funksional qruplu birləşmələr:– aromatik monoaminlər və onların törəmələri; bu birləşmələrin duzları:– – digərləri";PRODUCT
2921511100;"Amin funksional qruplu birləşmələr:– aromatik poliaminlər və onların törəmələri; bu birləşmələrin duzları:– – o-, m-, n- fenilendiamin, diamintoluollar və onların törəmələri; bu birləşmələrin duzları:– – – o-, m-, n- fenillendiamin, diamintoluollar və onların halogenləşdirilmiş, sulfolaşdırılmış, nitrolaşdırılmış və nitrozalaşdırılmış törəmələri; bu birləşmələrin duzları:– – – – saflığı 99 kütlə% və ya çox olan m–fenilendiamin, tərkibində 1kütlə% və ya az su, 200 mq\kq və ya az o-fenilendiamin, və 450 mq\kq və ya az n-fenilendiamin olan";PRODUCT
2921511900;"Amin funksional qruplu birləşmələr:– aromatik poliaminlər və onların törəmələri; bu birləşmələrin duzları:– – o-, m-, n- fenilendiamin, diamintoluollar və onların törəmələri; bu birləşmələrin duzları:– – – o-, m-, n- fenillendiamin, diamintoluollar və onların halogenləşdirilmiş, sulfolaşdırılmış, nitrolaşdırılmış və nitrozalaşdırılmış törəmələri; bu birləşmələrin duzları:– – – – digərləri";PRODUCT
2921519000;"Amin funksional qruplu birləşmələr:– aromatik poliaminlər və onların törəmələri; bu birləşmələrin duzları:– – o-, m-, n- fenilendiamin, diamintoluollar və onların törəmələri; bu birləşmələrin duzları:– – – digərləri";PRODUCT
2921595000;"Amin funksional qruplu birləşmələr:– aromatik poliaminlər və onların törəmələri; bu birləşmələrin duzları:– – digərləri:– – – m-fenilenbis (metilamin); 2,2-dixlor-4,4-metilendianilin; 4,4-bi-o-toluidin; 1,8-naftalindiamin";PRODUCT
2921599000;"Amin funksional qruplu birləşmələr:– aromatik poliaminlər və onların törəmələri; bu birləşmələrin duzları:– – digərləri:– – – digərləri";PRODUCT
2922110000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminospirtlər, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olmayan birləşmələrdən başqa; onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – monoetanolamin və onun duzları";PRODUCT
2922120000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminospirtlər, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olmayan birləşmələrdən başqa; onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – dietanolamin və onun duzları";PRODUCT
2922131000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminospirtlər, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olmayan birləşmələrdən başqa; onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – trietanolamin və onun duzları: – – – trietanolamin";PRODUCT
2922139000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminospirtlər, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olmayan birləşmələrdən başqa; onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – trietanolamin və onun duzları: – – – trietanolaminin duzları";PRODUCT
2922140000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminospirtlər, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olmayan birləşmələrdən başqa; onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – dekstropropoksifen (INN) və onun duzları";PRODUCT
2922191000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminospirtlər, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olmayan birləşmələrdən başqa; onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – digərləri:– – – N-etildietanolamin";PRODUCT
2922192000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminospirtlər, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olmayan birləşmələrdən başqa; onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – digərləri:– – – 2,2-metiliminodietanol (N-metildietanolamin)";PRODUCT
2922193000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminospirtlər, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olmayan birləşmələrdən başqa; onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – digərləri:– – – 2-(N,N-diizopropilamin)etanol";PRODUCT
2922198501;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminospirtlər, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olmayan birləşmələrdən başqa; onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – digərləri:– – – digərləri:– – – – N, N-dialkil (metil, etil, n-propil və ya izopropil) - 2- aminoetanollar və onların protonlaşdırılmış duzları";PRODUCT
2922198502;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminospirtlər, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olmayan birləşmələrdən başqa; onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – digərləri:– – – digərləri:– – – – N, N-dimetil-2-aminoetanol və onun protonlaşdırılmış duzları ";PRODUCT
2922198503;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminospirtlər, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olmayan birləşmələrdən başqa; onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – digərləri:– – – digərləri:– – – – N, N-dietil-2-aminoetanol və onun protonlaşdırılmış duzları";PRODUCT
2922198509;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminospirtlər, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olmayan birləşmələrdən başqa; onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – digərləri:– – – digərləri:– – – – digərləri";PRODUCT
2925120000;"Tərkibində funksional karboksimid qrupu olan (saxarin və onun duzları daxil olmaqla) birləşmələr və tərkibində funksional imin qrupu olan birləşmələr:– imidlər və onların törəmələri; bu birləşmələrin duzları:– – qlutetimid (INN)";PRODUCT
2925192000;"Tərkibində funksional karboksimid qrupu olan (saxarin və onun duzları daxil olmaqla) birləşmələr və tərkibində funksional imin qrupu olan birləşmələr:– imidlər və onların törəmələri; bu birləşmələrin duzları:– – digərləri:– – – 3,3, 4,4, 5,5, 6,6-oktabrom-N,N-etilendiftalimid; N, N-etilenbis (4,5-dibromheksahidro-3,6-metanftalimid)";PRODUCT
2925199500;"Tərkibində funksional karboksimid qrupu olan (saxarin və onun duzları daxil olmaqla) birləşmələr və tərkibində funksional imin qrupu olan birləşmələr:– imidlər və onların törəmələri; bu birləşmələrin duzları:– – digərləri:– – – digərləri";PRODUCT
2925210000;"Tərkibində funksional karboksimid qrupu olan (saxarin və onun duzları daxil olmaqla) birləşmələr və tərkibində funksional imin qrupu olan birləşmələr:– iminlər və onların törəmələri; onların duzları: – – xlordimeform (ISO)";PRODUCT
2925290000;"Tərkibində funksional karboksimid qrupu olan (saxarin və onun duzları daxil olmaqla) birləşmələr və tərkibində funksional imin qrupu olan birləşmələr:– iminlər və onların törəmələri; onların duzları: – – digərləri";PRODUCT
2926100000;"Tərkibində funksional nitril qrupu olan birləşmələr:– akrilonitril";PRODUCT
2926200000;"Tərkibində funksional nitril qrupu olan birləşmələr:– 1-sianquanidin (disiandiamid)";PRODUCT
2926300000;"Tərkibində funksional nitril qrupu olan birləşmələr:– fenproporeks (INN) və onun duzları; metadon (INN)– aralıq məhsulları olan (4-siano-2-dimetilamin-4,4-difenilbutan) ";PRODUCT
2926902000;"Tərkibində funksional nitril qrupu olan birləşmələr:– digərləri:– – izoftalonitril";PRODUCT
2926909500;"Tərkibində funksional nitril qrupu olan birləşmələr:– digərləri:– – digərləri";PRODUCT
2927000000;"Tərkibində funksional nitril qrupu olan birləşmələr:Diazo-, azo– və ya azoksibirləşmələr";PRODUCT
2928001000;"Hidrazin və ya hidroksilamin üzvi törəmələri:– N,N-bis (2-metoksietil) hidroksilamin";PRODUCT
2928009000;"Hidrazin və ya hidroksilamin üzvi törəmələri:– digərləri";PRODUCT
2929100000;"Tərkibində digər azottərkibli funksional qruplar olan birləşmələr:– izosianatlar";PRODUCT
2929900001;"Tərkibində digər azottərkibli funksional qruplar olan birləşmələr:– digərləri:– – N, N-dialkil (metil, etil, n-propil və ya izopropil) amidodihalloidfosfatlar ";PRODUCT
2929900002;"Tərkibində digər azottərkibli funksional qruplar olan birləşmələr:– digərləri:– – dialkil (metil, etil, n-propil və ya izopropil) N,N-dialkil (metil, etil, n-propil və ya izopropil) amidofosfatlar ";PRODUCT
2929900009;"Tərkibində digər azottərkibli funksional qruplar olan birləşmələr:– digərləri:– – digərləri";PRODUCT
2930200000;"Kükürd-üzvi birləşmələr:– tiokarbamatlar və ditiokarbamatlar";PRODUCT
2930300000;"Kükürd-üzvi birləşmələr:– tiuram mono-, di– və ya tetrasulfidlər";PRODUCT
2930401000;"Kükürd-üzvi birləşmələr:– metionin:– – metionin (INN)";PRODUCT
2930409000;"Kükürd-üzvi birləşmələr:– metionin:– – digərləri";PRODUCT
2930500000;"Kükürd-üzvi birləşmələr:– kaptafol (ISO) və metamidofos (ISO)";PRODUCT
2930901300;"Kükürd-üzvi birləşmələr:– digərləri:– – sistein və sistin";PRODUCT
2930901600;"Kükürd-üzvi birləşmələr:– digərləri:– – sistein və ya sistin törəmələri";PRODUCT
2930902000;"Kükürd-üzvi birləşmələr:– digərləri:– – tiodiqlikol (INN) (2, 2-tiodietanol)";PRODUCT
2930903000;"Kükürd-üzvi birləşmələr:– digərləri:– – DL-2-hidroksi-4-(metiltio) yağ turşusu";PRODUCT
2930904000;"Kükürd-üzvi birləşmələr:– digərləri:– – 2,2-tiodietilbis[3-(3,5-di-tret-butil-4-hidroksifenil)propionat]";PRODUCT
2930905000;"Kükürd-üzvi birləşmələr:– digərləri:– – 4 –metil-2,6-bis(metiltio)-m-fenilendiamin və 2-metil-4,6– bis(metiltio)-m-fenilendiamin tərkibli izomer qarışıqları";PRODUCT
2930906000;"Kükürd-üzvi birləşmələr:– digərləri:– – 2-(N,N-dietilamin)etandiol";PRODUCT
2930909901;"Kükürd-üzvi birləşmələr:– digərləri:– – digərləri:– – – 2-xloretilxlormetilsulfid ";PRODUCT
2930909902;"Kükürd-üzvi birləşmələr:– digərləri:– – digərləri:– – – bis (2-xloretil) sulfid (iprit) ";PRODUCT
2930909903;"Kükürd-üzvi birləşmələr:– digərləri:– – digərləri:– – – bis (2-xloretiltio) metan";PRODUCT
2930909904;"Kükürd-üzvi birləşmələr:– digərləri:– – digərləri:– – – 1,2-bis(2-xloretiltio) etan (seskviiprit)";PRODUCT
2930909905;"Kükürd-üzvi birləşmələr:– digərləri:– – digərləri:– – – 1, 3 - bis (2-xloretiltio)- n-propan ";PRODUCT
2930909906;"Kükürd-üzvi birləşmələr:– digərləri:– – digərləri:– – – 1, 4 - bis (2-xloretiltio)-n-butan ";PRODUCT
2930909907;"Kükürd-üzvi birləşmələr:– digərləri:– – digərləri:– – – 1, 5 - bis (2-xloretiltio)-n-pentan ";PRODUCT
2930909908;"Kükürd-üzvi birləşmələr:– digərləri:– – digərləri:– – – bis (2-xloretiltiometil) efiri ";PRODUCT
2930909909;"Kükürd-üzvi birləşmələr:– digərləri:– – digərləri:– – – digərləri, o cümlədən: O, O - dietil-S-[2-(dietilamino) etil] tiofosfat və onun alkilləşdirilmiş və ya protonlaşdırılmış duzları, N, N-dialkil (metil, etil, n-propil və ya izopropil) aminoetan - 2 - tiollar və onların protonlaşdırılmış duzları; O-etil S-fenil etiltioltiofosfonat (fonofos);Bis (2-xloretiltioetil) efiri (O-iprit); tərkibində bir metil, etil, n-propil və ya izopropil qrupu ilə birləşmiş fosfor atomu olan, lakin digər karbon atomu olmayan; [S-2-(dialkil(metil, etil, n-propil və ya izopropil) amino) etil] hidrogen alkil (metil, etil, n-propil və ya izopropil) tiofosfonatları və onların O-alkil (≤C10, sikloalkil daxil olmaqla) mürəkkəb efirləri və onların alkilləşdirilmiş və ya protonlaşdırılmış duzları";PRODUCT
2931100000;"Digər üzvi və qeyri-üzvi birləşmələr:– tetrametilqurquşun və tetraetilaququşun";PRODUCT
2931200000;"Digər üzvi və qeyri-üzvi birləşmələr:– tributilolov birləşmələr";PRODUCT
2931901000;"Digər üzvi və qeyri-üzvi birləşmələr:– digərləri:– – digərləri";PRODUCT
2922210000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminonaftollar və digər aminofenollar,tərkibində bir tipdən artıq oksigentərkibli funksional qruplar olan birləşmələrdən başqa, onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – aminhidroksinaftalinsulfoturşular və onların duzları";PRODUCT
2922290000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminonaftollar və digər aminofenollar,tərkibində bir tipdən artıq oksigentərkibli funksional qruplar olan birləşmələrdən başqa, onların sadə və mürəkkəb efirləri; bu birləşmələrin duzları:– – digərləri";PRODUCT
2922310000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminoaldehidlər, aminoketonlar və aminoxinonlar, tərkibində bir tipdən çox oksigentərkibli funksional qrup olan birləşmələrdən başqa; bu birləşmələrin duzları: – – amfepramon (INN), metadon (INN) və normetadon (INN); bu birləşmələrin duzları";PRODUCT
2922390000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminoaldehidlər, aminoketonlar və aminoxinonlar, tərkibində bir tipdən çox oksigentərkibli funksional qrup olan birləşmələrdən başqa; bu birləşmələrin duzları: – – digərləri";PRODUCT
2922410000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminturşular, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olan birləşmələrdən başqa və onların mürəkkəb efirləri; bu birləşmələrin duzları:– – lizin və onun mürəkkəb efirləri; bu birləşmələrin duzları";PRODUCT
2922420000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminturşular, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olan birləşmələrdən başqa və onların mürəkkəb efirləri; bu birləşmələrin duzları:– – qlütamin turşusu və onun duzları";PRODUCT
2922430000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminturşular, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olan birləşmələrdən başqa və onların mürəkkəb efirləri; bu birləşmələrin duzları:– – antranil turşusu və onun duzları";PRODUCT
2922440000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminturşular, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olan birləşmələrdən başqa və onların mürəkkəb efirləri; bu birləşmələrin duzları:– – tilidin (İNN) və onun duzları";PRODUCT
2922492000;"Oksigentərkibli funksional qrupu olan amin birləşmələri:– aminturşular, tərkibində bir tipdən artıq oksigentərkibli funksional qrup olan birləşmələrdən başqa və onların mürəkkəb efirləri; bu birləşmələrin duzları:– – digərləri:– – – β-alanin";PRODUCT
